;HR;HV;Prof;LA;LDMC;LT;SLA;N;SM;Type;Groupe;Reserve;Cupl ;Copl;Capl;Mgpl;Mnpl;Ppl
Rhytrott;59;49.83;10;533.56;0.49;0.2;10.33;;0.002022222;P;Gram;T;3.13;1.45;982.61;1585.18;40.52;726.98
Sacctran;53.73;19.15;7.5;975.63;0.29;0.17;20.55;1.4375;0.004;P;Gram;R;13.94;12.65;2829.72;2979.15;246.03;968.42
Schibrev;15;6.14;5;23.61;0.22;0.08;57.53;0.961425;0.0002;A;Ann;G;;;;;;
Sclebulb;49.8;36.82;5;423.66;0.36;0.16;17.89;0.8954;0.000979592;P;Gram;C;3.9;2.59;5217.65;2376.43;96.52;1344.58
Sopumann;69.25;53.12;10;110.72;0.28;0.35;11.1;1.4379;0.000022;P;Xyl;X;24.94;1535.06;12064.16;6402.24;80.32;4890.22
Sporcong;48.04;26.52;7.5;267.65;0.39;0.17;14.81;1.053;0.00015;P;Gram;T;89.74;8.1;2166.82;898.54;32.65;1383.13
Thesatru;11.83;23.35;50;;;;;1.3458;;P;Xyl;X;173.01;56.12;7034.11;4338.95;95.86;3185.09
Tinncoer;113.5;80.46;120;423.01;0.26;0.32;12.18;2.238;0.003857143;P;Xyl;X;11.96;2.61;4738.3;8239.95;282.6;1178.3
Tracspic;89;62.47;15;966.98;0.32;0.27;11.9;1.078443333;0.0026;P;Gram;T;3.71;2.98;1388.8;1880.02;54.29;860.09
Trisbequ;60;44.14;7.5;794.54;0.38;0.15;18.16;1.018;0.004;P;Gram;T;5.23;4.44;6881.1;8754.46;43.05;991.42
Trisex;116.52;68.12;25;1925.71;0.28;0.26;14.42;1.0816;0.006;P;Gram;R;8.82;18.99;6515.51;9336.18;183.03;831.97
Trissupe;113;63.44;35;2112.55;0.31;0.29;11.22;1.2102;0.005684;P;Gram;R;3.07;1.57;2803.8;2696.27;35.61;1218.47
Triuwelw;48.18;62.29;120;855.85;0.39;0.28;9.78;1.56262;0.043158333;P;Xyl;X;25.91;53.06;8427.6;8811.94;300.6;1261.11
Vernsp3;47.92;32.4;20;1948.71;0.14;0.48;15.83;1.602733333;0.00277;P;Bulb;RT;57.14;4.86;24852.3;40606.01;767.22;927.44
Vernsp6;19;5.63;15;4257.29;0.17;0.4;15.22;1.749175;0.000814;P;Bulb;RT;48.12;22.34;7464.2;7269.18;1126.45;1378.08
Vernsupr;12;26.85;60;751.07;0.31;0.37;8.81;;0.000807104;P;Xyl;X;57.83;22.95;5438.17;5295.89;319.03;1043.83
Xeroequi;30;29.5;15;2238.72;0.28;0.43;8.34;1.33;0.000023;P;Cham;TI;6.87;324.02;10242.25;3529.91;16.99;1462.48
